"Year","Physical sciences","Mathematics","Computer sciences","Life sciences","Psychology","Social sciences","Engineering","gender","position"
1973,25.5,9.7,NA,34.9,12.2,23.4,12.4,"both","all"
1975,27.5,11,NA,39.4,14.8,28,13.4,"both","all"
1977,29.2,11.7,NA,42.6,16.2,31.1,14.8,"both","all"
1979,28.8,12.2,0.1,47,17.7,33.6,15.8,"both","all"
1981,30,12.4,0.3,51.3,20.1,36.9,16.1,"both","all"
1983,29.9,12.9,0.5,54.9,21,38.9,18.1,"both","all"
1985,32.2,13.6,0.8,58.7,23.1,42,19.9,"both","all"
1987,32.8,13.8,1.1,61.3,23.7,42.2,21.2,"both","all"
1989,33.6,14.5,1.5,64.8,25,44.5,22.9,"both","all"
1991,33.7,15.2,2,66.9,25.2,44.8,22.8,"both","all"
1993,35,15.5,2.5,68.2,25,44.4,23.1,"both","all"
1995,35.7,14.6,3.1,71.6,26.1,42.5,23.8,"both","all"
1997,37.5,15.6,3.3,77.3,27.3,44.9,26.6,"both","all"
1999,38.7,15.2,3.7,81.9,29,46.2,25.5,"both","all"
2001,38.6,14.9,3.8,84.3,30.4,46.9,26.6,"both","all"
2003,39.9,16.7,5.2,90,31.8,48.1,27.8,"both","all"
2006,39.6,17.4,5.8,95.5,35,50,29.6,"both","all"
2008,39.9,18,6.9,94.2,34.5,52.5,30.4,"both","all"
2010,43.7,18.7,7.3,102,35.4,54.9,32.8,"both","all"
1973,1.4,0.6,NA,4,2.2,2.4,0.1,"female","all"
1975,1.6,0.8,NA,5.1,3,3.3,0.1,"female","all"
1977,1.7,0.9,NA,6,3.6,4.2,0.1,"female","all"
1979,1.9,0.9,0,6.9,4.3,5.2,0.2,"female","all"
1981,2.1,1.1,0,8.4,5.2,6,0.2,"female","all"
1983,2.2,1.1,0.1,10.3,5.9,6.5,0.3,"female","all"
1985,2.5,1.3,0.1,12.1,7.1,7.7,0.4,"female","all"
1987,2.8,1.4,0.1,13.3,7.6,8.3,0.6,"female","all"
1989,3.1,1.5,0.2,15.3,8.5,9.4,0.7,"female","all"
1991,3,1.4,0.4,16.8,9.2,10.2,1,"female","all"
1993,3.6,1.7,0.5,18.8,10.3,10.9,1.1,"female","all"
1995,4.4,1.8,0.6,21.5,11.5,11.2,1.5,"female","all"
1997,5.1,2.1,0.7,24.7,11.9,13,1.7,"female","all"
1999,5.3,2.2,0.8,26.7,13.4,13.8,2.1,"female","all"
2001,5.8,2.3,0.8,29.4,14.7,15.2,2.3,"female","all"
2003,6.1,2.9,1,33.4,16.2,16.2,3,"female","all"
2006,7.3,3.3,1.2,37.6,19,18.2,3.6,"female","all"
2008,7.8,3.9,1.4,38.7,18.9,19.5,4.1,"female","all"
2010,9.3,4.3,1.5,43.3,19.8,21.5,5.5,"female","all"
1973,15.2,5.9,NA,21,7.3,15.9,8.7,"both","senior"
1975,17.1,6.9,NA,23.4,8.7,18.5,9.7,"both","senior"
1977,18,7.6,NA,24.6,9.1,20.7,10.7,"both","senior"
1979,18.8,8.3,0,27,9.9,21.7,11.6,"both","senior"
1981,19.7,9.1,0,29.6,11.7,24.9,12.4,"both","senior"
1983,20.2,9.7,0.1,32.6,12.8,26.3,13.7,"both","senior"
1985,20.8,10,0.1,33.7,13.5,27.7,13.9,"both","senior"
1987,21.5,10.5,0.3,35.8,14.3,29.5,15.3,"both","senior"
1989,21.4,10.9,0.4,36.4,15,31.1,15.9,"both","senior"
1991,21.2,11.8,0.9,37.4,15.3,30.6,15.8,"both","senior"
1993,20.6,11.5,0.9,35.8,14.3,29.9,15.7,"both","senior"
1995,20,10.6,1.7,37.2,14.5,28.1,15.3,"both","senior"
1997,20.5,10.8,1.7,38.3,15.3,28.8,16.6,"both","senior"
1999,20.7,10.8,2.1,40.6,15.6,30.1,16.6,"both","senior"
2001,20.7,10.2,2.4,41.2,15.9,29.6,16.8,"both","senior"
2003,21.3,11.2,2.9,43.4,15.8,30.7,16.8,"both","senior"
2006,20.2,10.7,3.2,43.7,16.1,29.3,16.2,"both","senior"
2008,20.9,11.6,3.8,44.8,17,32,17.6,"both","senior"
2010,22.4,11.5,4.2,47.2,17,32.8,17.7,"both","senior"
1973,0.5,0.3,NA,1.5,0.8,1.1,0,"female","senior"
1975,0.5,0.4,NA,1.8,1.1,1.5,0,"female","senior"
1977,0.6,0.4,NA,1.9,1.2,1.8,0,"female","senior"
1979,0.7,0.4,0,2.2,1.4,2.2,0.1,"female","senior"
1981,0.7,0.5,0,2.7,2,2.6,0.1,"female","senior"
1983,0.8,0.6,0,3.5,2.4,3.1,0.2,"female","senior"
1985,0.9,0.7,0,4.3,2.7,3.6,0.2,"female","senior"
1987,1,0.8,0,4.8,3.1,4.1,0.2,"female","senior"
1989,1.1,0.9,0.1,5.4,3.5,4.7,0.2,"female","senior"
1991,0.9,1,0.1,6.1,4,5.1,0.4,"female","senior"
1993,1.1,1,0.1,6.5,4.1,5.2,0.3,"female","senior"
1995,1.2,0.8,0.3,7.8,4.4,5.3,0.5,"female","senior"
1997,1.5,0.8,0.3,8.3,4.6,6.4,0.5,"female","senior"
1999,1.9,1.1,0.5,9.5,5.4,7,0.8,"female","senior"
2001,2.1,1.1,0.4,10.8,5.6,7.7,0.9,"female","senior"
2003,2.4,1.3,0.5,12.5,6.3,8.3,1.1,"female","senior"
2006,2.7,1.4,0.6,13.3,7,8.7,1.2,"female","senior"
2008,3.1,1.9,0.6,14.6,7.7,10.2,1.3,"female","senior"
2010,3.6,2.1,0.7,16.2,7.6,10.9,1.7,"female","senior"
1973,5.6,3.3,NA,8.5,3.6,5.7,2.6,"both","junior"
1975,5.2,3.5,NA,9.7,4.2,7.1,2.5,"both","junior"
1977,5.7,3.3,NA,10.3,4.8,8.2,2.7,"both","junior"
1979,4.7,3.1,0.1,10.3,4.4,8.6,2.8,"both","junior"
1981,4.6,2.6,0.2,11.3,4.8,8.8,2.3,"both","junior"
1983,4,2.5,0.3,10.8,4.5,8.1,2.7,"both","junior"
1985,4.6,2.7,0.6,11.9,5,8.4,4,"both","junior"
1987,4.7,2.4,0.6,12.3,4.9,8.2,4,"both","junior"
1989,4.8,2.6,0.9,12.8,5.2,7.9,4.3,"both","junior"
1991,5,2.4,1,13.7,5.4,8.4,4.3,"both","junior"
1993,5.2,3.2,1.4,15,5.2,9.3,4.5,"both","junior"
1995,5.6,2.4,1.2,15.6,5.5,9,4.8,"both","junior"
1997,6.1,2.8,1.3,16.9,5.5,8.9,5,"both","junior"
1999,6.6,2.4,1.2,17.5,6.2,9.1,4.5,"both","junior"
2001,6.7,2.3,0.9,19.2,6.6,9.6,5.1,"both","junior"
2003,7.2,3,1.3,20.3,6.3,9.5,5.5,"both","junior"
2006,7.5,3.4,1.7,20.8,7.6,10.5,6.1,"both","junior"
2008,6.9,3.4,1.9,20.4,6.4,10.3,5.2,"both","junior"
1973,0.3,0.2,NA,1.1,0.9,0.8,0,"female","junior"
1975,0.3,0.3,NA,1.6,1.2,1.2,0,"female","junior"
1977,0.5,0.4,NA,1.9,1.5,1.7,0,"female","junior"
1979,0.5,0.4,0,2.2,1.6,2.1,0.1,"female","junior"
1981,0.5,0.4,0,2.4,1.8,2.3,0.1,"female","junior"
1983,0.5,0.3,0,2.7,1.9,2.1,0.1,"female","junior"
1985,0.6,0.4,0.1,3.4,2.3,2.4,0.2,"female","junior"
1987,0.7,0.4,0.1,3.8,2.2,2.6,0.2,"female","junior"
1989,0.7,0.4,0.1,4.5,2.3,2.7,0.3,"female","junior"
1991,0.9,0.3,0.2,4.9,2.4,3,0.4,"female","junior"
1993,1.1,0.5,0.3,5.5,2.9,3.4,0.5,"female","junior"
1995,1.5,0.5,0.2,6.1,3.1,3.5,0.7,"female","junior"
1997,1.6,0.6,0.3,7.1,3.4,3.5,0.6,"female","junior"
1999,1.5,0.7,0.2,7.1,3.5,3.7,0.5,"female","junior"
2001,1.6,0.6,0.2,8.1,3.9,4.1,0.8,"female","junior"
2003,1.7,0.9,0.3,9.1,3.9,4.6,1,"female","junior"
2006,1.9,1.1,0.4,9.7,4.8,5.2,1.3,"female","junior"
2008,1.9,1,0.5,9.6,4,4.5,1.3,"female","junior"
